name,placeRating,theme,address,latitude,longitude,webUrl,textRating,text,numberOfReviews,lang,id,website,city,imageUrl_x,description_x,text_sentiment,subtype
Shrimp Nation,3.8,Seafood restaurant,"3211 طريق الملك عبدالعزيز، الوردتين، أبها 62521 9515،, Abha 62521, Saudi Arabia",18.2314888,42.4980857,https://www.google.com/maps/search/?api=1&query=Shrimp%20Nation&query_place_id=ChIJmy7tWAFV4xURJjb0WSYcFwE,1,"Bad service, and very exaggerated prices for the amount of food, even the bathroom, may God honor you, there is no water in it !!
It is not reasonable, explicitly surprised me with the bad service that affected the reputation of the restaurant ❌👎🏼",1280,ar,ChIJmy7tWAFV4xURJjb0WSYcFwE,,Abha,https://lh5.googleusercontent.com/p/AF1QipM-hYXh35qBlWTcK6PKby0-9t1QLWSzzyQiNJ_r=w408-h544-k-no,,negative,Food & Dining
Village Pastries,4.3,Restaurant,"Al Qabil, Abha 62521, Saudi Arabia",18.2195989,42.493617,https://www.google.com/maps/search/?api=1&query=%D9%81%D8%B7%D8%A7%D8%A6%D8%B1%20%D8%A7%D9%84%D9%82%D8%B1%D9%8A%D8%A9%20Village%20Pastries&query_place_id=ChIJ1cMGufhV4xURN5Pe-8uvGzE,5,"Betza chicken and nest of confusion is tremendous, and thank you for a respected worker",70,ar,ChIJ1cMGufhV4xURN5Pe-8uvGzE,,Abha,https://lh5.googleusercontent.com/p/AF1QipMJ3fTkJmZsOu4q_zJ1MudCnZqUNTW85ahCAEOV=w408-h544-k-no,,positive,Food & Dining
Happy Chicken,3.7,Chicken restaurant,"6G63+R2Q, Umar Ibn Abdulaziz, Al Tabjiah, Abha 62521, Saudi Arabia",18.2120829,42.5026166,https://www.google.com/maps/search/?api=1&query=Happy%20Chicken&query_place_id=ChIJy4qsF3hU4xUR7_vz2hRrRMQ,5,,1383,,ChIJy4qsF3hU4xUR7_vz2hRrRMQ,,Abha,https://lh5.googleusercontent.com/p/AF1QipMjJV525RtihYKrgGJQmZmdrt-wf6RnnaE4s6rt=w408-h544-k-no,,positive,Food & Dining
Al Azariah,3.7,Restaurant,"النزهة،شارع الامير سلطان، شارع المطاعم،, Abha 62521, Saudi Arabia",18.2067133,42.516906,https://www.google.com/maps/search/?api=1&query=Al%20Azariah&query_place_id=ChIJKZT9OgRT4xUR9ZjtAX6m348,5,A good restaurant is really good food. They have a birani worthy,3225,ar,ChIJKZT9OgRT4xUR9ZjtAX6m348,,Abha,https://lh5.googleusercontent.com/p/AF1QipMquLfed1M0RU6Xjif1J4CcAYhgctmpJWrdkcTA=w532-h240-k-no,,positive,Food & Dining
Atheer Shawarma Restaurant,3.7,Restaurant,"8782 الفاروق، 3463, Shamasan, Abha 62521, Saudi Arabia",18.2247653,42.501002,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D8%AB%D9%8A%D8%B1%20%D9%84%D9%84%D8%B4%D8%A7%D9%88%D8%B1%D9%85%D8%A7&query_place_id=ChIJUTkmQm9U4xURaK-qzHY5Qp4,4,The oldest shawarma in Abha and the same taste,117,ar,ChIJUTkmQm9U4xURaK-qzHY5Qp4,,Abha,https://lh5.googleusercontent.com/p/AF1QipMqzcuIARzgJP6FTkg3HqN4R7_xfOB6fCutLNfg=w408-h544-k-no,,positive,Food & Dining
Shafa Abha Hotel,3.6,Hotel,"8344 ررل- 5336, Abha 62522, Saudi Arabia",18.1950281,42.5203197,https://www.google.com/maps/search/?api=1&query=Shafa%20Abha%20Hotel&query_place_id=ChIJOwlyFWNU4xURpvZLVQPrRRM,1,Bad due to the discotheque side,2120,ar,ChIJOwlyFWNU4xURpvZLVQPrRRM,,Abha,https://lh5.googleusercontent.com/p/AF1QipMrEIRX2NOKOROHMuOBB4UU-dtUOLYWxvb15FVI=w408-h567-k-no,,positive,Food & Dining
Quartz Hotel | Quartz executive apartments,4.5,Hotel,"asir, abha, Street Amr ibn al-Jamuh 6597 عسير، ابها، شارع عمرو بن الجموع 6597, Abha 62584, Saudi Arabia",18.2255079,42.595831,https://www.google.com/maps/search/?api=1&query=Quartz%20Hotel%20%7C%20%D9%83%D9%88%D8%A7%D8%B1%D8%AA%D8%B2%20%D8%B4%D9%82%D9%82%20%D8%AA%D9%86%D9%81%D9%8A%D8%B0%D9%8A%D8%A9&query_place_id=ChIJ2a2hUcer_BURatI6f_iMqD0,5,Very excellent,802,ar,ChIJ2a2hUcer_BURatI6f_iMqD0,,Abha,https://lh5.googleusercontent.com/p/AF1QipMsj7ZJ_H3SPXtgwJBaw4FjwfVZZ5zRAjPocv9W=w408-h408-k-no,,positive,Food & Dining
Sneak,4.2,Breakfast restaurant,"6455 2973 King Abdul Aziz Rd, As Sharafiyah, Abha 62542, Saudi Arabia",18.2336844,42.5061682,https://www.google.com/maps/search/?api=1&query=%D8%B3%D8%AF%D9%81&query_place_id=ChIJfwHYIBJV4xURRCNswmvlybo,5,Its departure is three times and a distant time between three times and separate times,1598,ar,ChIJfwHYIBJV4xURRCNswmvlybo,,Abha,https://lh5.googleusercontent.com/p/AF1QipMSlQ3rQaPMvmrIevDW6bXqB2sGHbttvEKHu-U1=w426-h240-k-no,,positive,Food & Dining
Makkah Restaurant,3.8,Restaurant,"9035 خالد بن الوليد، 3235, Abha 62521, Saudi Arabia",18.2268393,42.4988469,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D9%85%D9%83%D8%A9&query_place_id=ChIJg2MhaaRV4xURQBOrt6xHtAg,5,I like it 👌,68,ar,ChIJg2MhaaRV4xURQBOrt6xHtAg,,Abha,https://lh5.googleusercontent.com/p/AF1QipMuGX7WpRumuKuoM0BG48jVhwVnINd1nI9YxRex=w408-h306-k-no,,positive,Food & Dining
ZURNA - visit us,4.5,Restaurant,"King Fahd Rd, Al-Mozvin, Abha 62583, Saudi Arabia",18.2409126,42.6072448,https://www.google.com/maps/search/?api=1&query=ZURNA%20-%20%D8%B2%D9%88%D8%B1%D9%86%D8%A7&query_place_id=ChIJr___dJar_BURyZRGeC5k874,5,,2279,,ChIJr___dJar_BURyZRGeC5k874,,Abha,https://lh5.googleusercontent.com/p/AF1QipMV25aq19ZmGlTJfTNDfV24j8NpdZoRaACfzuZC=w408-h272-k-no,,positive,Food & Dining
Khayal Popular Restaurant,4,Restaurant,"King Faisal Rd, As Sharafiyah, Abha 62542, Saudi Arabia",18.2369472,42.5003231,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%B4%D8%B9%D8%A8%D9%8A%D8%A7%D8%AA%20%D8%AE%D9%8A%D8%A7%D9%84&query_place_id=ChIJ_x5vGudV4xURkhVbzS-Z4Uo,5,,98,,ChIJ_x5vGudV4xURkhVbzS-Z4Uo,,Abha,https://lh5.googleusercontent.com/p/AF1QipMv92mmmsWhpBJGEU3HKjOGH1asez7OBbT2i3h1=w408-h306-k-no,,positive,Food & Dining
Dar Hira Restaurant,3.5,Restaurant,"شارع إبراهيم الحديثي, Shamasan, Abha 62521, Saudi Arabia",18.2288278,42.5091666,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%AF%D8%A7%D8%B1%20%D8%AD%D8%B1%D8%A7%D8%A1&query_place_id=ChIJY3rUL8hV4xUR9hbLpv8ANfM,3,"Jana demand in less than 3 minutes
The compressed text of Abu Bint Bint with 23 was dominant and chicken we add any chicken dirt
Shata and his authority is an option",4905,ar,ChIJY3rUL8hV4xUR9hbLpv8ANfM,,Abha,https://lh5.googleusercontent.com/p/AF1QipMWbTFKIg1d2prMVRj2sQcajKT_RRBGbPoKq0g6=w452-h240-k-no,,positive,Food & Dining
True Hashi Restaurant,4.1,Restaurant,"6HHV+WPP، البديع, Abha 62583, Saudi Arabia",18.2298432,42.5943427,https://www.google.com/maps/search/?api=1&query=True%20Hashi%20Restaurant&query_place_id=ChIJH1TAuFaq_BURYSb5PgTvktQ,1,I will not repeat the experience and do not recommend it. The workers are bad. And the quantity for the price is very small in the footnote.,2501,ar,ChIJH1TAuFaq_BURYSb5PgTvktQ,,Abha,https://lh5.googleusercontent.com/p/AF1QipMWU_4W4XDAwud6mydDQLeT9eRQAPKzz_FKcATF=w408-h544-k-no,,positive,Food & Dining
Pie King,3.7,Restaurant,"Umar Ibn Abdulaziz, Al Tabjiah, Abha 62521, Saudi Arabia",18.212193,42.502738,https://www.google.com/maps/search/?api=1&query=Pie%20King&query_place_id=ChIJucukPXhU4xUR9Q65-tqnE0k,4,,1284,,ChIJucukPXhU4xUR9Q65-tqnE0k,,Abha,https://lh5.googleusercontent.com/p/AF1QipMWz5aj9HRynGgdfsjYuOexF_MYLetM1k4ygrFF=w426-h240-k-no,,positive,Food & Dining
River,5,Family restaurant,"3659 بنو بكر, Al Khasha, حي, ABDA7653, 7653, Abha 62521, Saudi Arabia",18.2145219,42.5029214,https://www.google.com/maps/search/?api=1&query=Abha&query_place_id=ChIJ1xKUAgBV4xURsTUi0KkGBCc,5,,1,,ChIJ1xKUAgBV4xURsTUi0KkGBCc,,Abha,https://lh5.googleusercontent.com/p/AF1QipMXVzSAhyqMN5xWF6ms-dfXRidy2MOsIWjUP8vO=w408-h306-k-no,,positive,Food & Dining
Bunbastic Burger,4.8,Restaurant,"6G9H+JJ،, مجمع الفرقان، المنسك،, Abha 62523, Saudi Arabia",18.2190625,42.5290625,https://www.google.com/maps/search/?api=1&query=%D8%A8%D9%86%D8%A8%D8%A7%D8%B3%D8%AA%D9%8A%D9%83%20%D8%A8%D8%B1%D8%AC%D8%B1%20bunbastic%20burger&query_place_id=ChIJvYlUfGlV4xURD8Yy8H-WeYw,5,"Frankly, one of the best restaurants in Al -Barr",3892,ar,ChIJvYlUfGlV4xURD8Yy8H-WeYw,,Abha,https://lh5.googleusercontent.com/p/AF1QipMy496bPOshgHxWSGxsw2DolbIy0vYxSNswYuDp=w408-h306-k-no,,positive,Food & Dining
Soho Square (Dar Esmat),4,Restaurant,"King Abdul Aziz Rd, Al Muftaha, Abha 62521, Saudi Arabia",18.2104839,42.4904839,https://www.google.com/maps/search/?api=1&query=SOHO%20SQUARE%20(%20%D8%AF%D8%A7%D8%B1%20%D8%B9%D8%B5%D9%85%D8%AA)&query_place_id=ChIJJcWR1cdT4xUR6sPg83N_sLc,1,"Unfortunately, writers are open up to 2 and text
Jet 11 and a text I met closed",814,ar,ChIJJcWR1cdT4xUR6sPg83N_sLc,,Abha,https://lh5.googleusercontent.com/p/AF1QipMyawu1gLBVrLNhx47KoPfw2tV9eAVO7Otz_T4=w408-h541-k-no,,positive,Food & Dining
Haneth Burger - Aave,3.4,Hamburger restaurant,"طريق الحزام, As Sadd, Abha 62521, Saudi Arabia",18.2179811,42.4878395,https://www.google.com/maps/search/?api=1&query=Haneth%20Burger%20-%20Abha&query_place_id=ChIJqWT7v41V4xURoFTcxYIi-Is,2,,194,,ChIJqWT7v41V4xURoFTcxYIi-Is,,Abha,https://lh5.googleusercontent.com/p/AF1QipM-Y-NFomopmFxJlfxG4xWczx1Bqrnb4lgOTxw3=w408-h544-k-no,,positive,Food & Dining
Good morning - sabahk,4.5,Breakfast restaurant,"King Fahd Rd, Almahalah, Abha 62561, Saudi Arabia",18.2394309,42.5806418,https://www.google.com/maps/search/?api=1&query=%D8%B5%D8%A8%D8%A7%D8%AD%D9%83%20-%20SABAHK&query_place_id=ChIJTx6zEACr_BURdbq5GFrPdAo,5,The breakfast here is unmatched🥰🥰,921,en,ChIJTx6zEACr_BURdbq5GFrPdAo,,Abha,https://lh5.googleusercontent.com/p/AF1QipM-Z-Y0CjLo7Vg6ANPNiiE6f3nIgPuM65J1sV1S=w408-h544-k-no,,positive,Food & Dining
Hisn Abha Heritage Official Restaurant (Saeed Bashsha),3.2,Restaurant,وسط المدينة، Saudi Arabia,18.2197014,42.4978857,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%AD%D8%B5%D9%86%20%D8%A7%D8%A8%D9%87%D8%A7%20%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D8%AB%D9%8A%20%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A(%20%D8%B3%D8%B9%D9%8A%D8%AF%20%D8%A8%D8%B4%D8%A7%D8%B4%D9%87)&query_place_id=ChIJfZh-IlZV4xURGFhQSqxfIPU,5,"Happy with a screen, thank you, and God is a job from the other from eating something from your eye and above, and from the deal, we are happy, may God make him happy and bless him with good permissible",2529,ar,ChIJfZh-IlZV4xURGFhQSqxfIPU,,Abha,https://lh5.googleusercontent.com/p/AF1QipN_DK-zVVHwHSIQPkL-uXII_QkjMPDPz3jLC3ZS=w408-h544-k-no,,positive,Food & Dining
Arya | It just is,4.8,American restaurant,"6F9X+V5M حي البسطه, Town Center, Abha 62521, Saudi Arabia",18.2197199,42.4979214,https://www.google.com/maps/search/?api=1&query=Arya%20%7C%20Basta&query_place_id=ChIJ039-VgBV4xURM7AobYzpibY,5,,13,,ChIJ039-VgBV4xURM7AobYzpibY,,Abha,https://lh5.googleusercontent.com/p/AF1QipN_EGE2vaCbDoBv-5jmKzJh32Gc7FL-AN8pCwRA=w408-h725-k-no,,positive,Food & Dining
Tandoori Res.,3.3,Restaurant,"6HQJ+53G، البديع، Abha 62581, Saudi Arabia",18.2379463,42.5801891,https://www.google.com/maps/search/?api=1&query=Tandoori%20Res.&query_place_id=ChIJH-MY4--q_BURCFKCoEVITHA,1,"There is no taste, price, and the biryani rice is cold, and the heat of pepper, and the quantity, has caused the chicken a few, and the bread is few",44,ar,ChIJH-MY4--q_BURCFKCoEVITHA,,Abha,https://lh5.googleusercontent.com/p/AF1QipN39Y7QpYJyEOErU8mChi2Cjk8POzJ3gExXGFVV=w408-h544-k-no,,positive,Food & Dining
The Burgers Origin,4.1,Hamburger restaurant,"المفتاحة،, Abha 62521, Saudi Arabia",18.2101567,42.4906394,https://www.google.com/maps/search/?api=1&query=The%20Burgers%20Origin&query_place_id=ChIJL7H8mfRT4xURsRO0w0eOTsE,5,,2416,,ChIJL7H8mfRT4xURsRO0w0eOTsE,,Abha,https://lh5.googleusercontent.com/p/AF1QipN4kJQ_PpAeZzzSH0M707xvxK_uugMULVwOlW1s=w408-h544-k-no,,positive,Food & Dining
Frog Al-Jazeera,4.1,Chicken restaurant,"6G82+2RR، وسط البلد, Al Khasha, Abha 62521, Saudi Arabia",18.2151135,42.5020085,https://www.google.com/maps/search/?api=1&query=Broast%20Al-Jazeera&query_place_id=ChIJgzw34HlU4xUR0ArDlJNRDBE,4,,278,,ChIJgzw34HlU4xUR0ArDlJNRDBE,,Abha,https://lh5.googleusercontent.com/p/AF1QipNBfZrfpNlBW95tipv8BgQBriw5y_ippWkWMbVa=w535-h240-k-no,,positive,Food & Dining
